id;id_wasp;id_secret;frame_type;frame_number;sensor;value;timestamp;sync;raw;parser_type;MeshliumID
582;WeatherStation;49387063D9374225;134;75;PLV2;0.00;"2018-06-19 17:02:00";128;noraw;1;meshliuma460
1623;WeatherStation;49387063D9374225;134;180;PLV2;0.00;"2018-06-19 19:03:47";128;noraw;1;meshliuma460
2777;WeatherStation;49387063D9374225;134;33;PLV2;0.00;"2018-06-19 21:02:50";128;noraw;1;meshliuma460
3364;WeatherStation;49387063D9374225;134;89;PLV2;0.00;"2018-06-19 22:03:11";128;noraw;1;meshliuma460
3946;WeatherStation;49387063D9374225;134;145;PLV2;0.00;"2018-06-19 23:03:28";128;noraw;1;meshliuma460
4515;WeatherStation;49387063D9374225;134;201;PLV2;0.00;"2018-06-20 00:03:44";128;noraw;1;meshliuma460
5101;WeatherStation;49387063D9374225;134;56;PLV2;0.00;"2018-06-20 01:03:44";128;noraw;1;meshliuma460
5663;WeatherStation;49387063D9374225;134;112;PLV2;0.00;"2018-06-20 02:03:55";128;noraw;1;meshliuma460
6232;WeatherStation;49387063D9374225;134;168;PLV2;0.00;"2018-06-20 03:04:08";128;noraw;1;meshliuma460
6711;WeatherStation;49387063D9374225;134;224;PLV2;0.00;"2018-06-20 04:04:20";128;noraw;1;meshliuma460
7220;WeatherStation;49387063D9374225;134;24;PLV2;0.00;"2018-06-20 05:04:32";128;noraw;1;meshliuma460
7786;WeatherStation;49387063D9374225;134;80;PLV2;0.00;"2018-06-20 06:04:44";128;noraw;1;meshliuma460
8296;WeatherStation;49387063D9374225;134;132;PLV2;0.00;"2018-06-20 07:00:41";128;noraw;1;meshliuma460
8878;WeatherStation;49387063D9374225;134;188;PLV2;0.00;"2018-06-20 08:01:03";128;noraw;1;meshliuma460
9458;WeatherStation;49387063D9374225;134;244;PLV2;0.00;"2018-06-20 09:01:22";128;noraw;1;meshliuma460
10037;WeatherStation;49387063D9374225;134;44;PLV2;0.00;"2018-06-20 10:02:02";128;noraw;1;meshliuma460
10620;WeatherStation;49387063D9374225;134;100;PLV2;0.00;"2018-06-20 11:03:00";128;noraw;1;meshliuma460
11184;WeatherStation;49387063D9374225;134;153;PLV2;0.00;"2018-06-20 12:02:19";128;noraw;1;meshliuma460
11739;WeatherStation;49387063D9374225;134;206;PLV2;0.00;"2018-06-20 13:00:35";128;noraw;1;meshliuma460
12330;WeatherStation;49387063D9374225;134;6;PLV2;0.00;"2018-06-20 14:01:27";128;noraw;1;meshliuma460
12931;WeatherStation;49387063D9374225;134;62;PLV2;0.00;"2018-06-20 15:03:20";128;noraw;1;meshliuma460
13488;WeatherStation;49387063D9374225;134;115;PLV2;0.00;"2018-06-20 16:02:32";128;noraw;1;meshliuma460
14084;WeatherStation;49387063D9374225;134;171;PLV2;0.00;"2018-06-20 17:04:02";128;noraw;1;meshliuma460
14637;WeatherStation;49387063D9374225;134;223;PLV2;0.00;"2018-06-20 18:00:59";128;noraw;1;meshliuma460
15224;WeatherStation;49387063D9374225;134;23;PLV2;0.00;"2018-06-20 19:01:35";128;noraw;1;meshliuma460
15820;WeatherStation;49387063D9374225;134;79;PLV2;0.00;"2018-06-20 20:02:21";128;noraw;1;meshliuma460
