sensor,min,max,avg,start,end
ANE,0.0,42.4,6.6859550561798216,2018-02-18T01:00:00.000+01:00,2018-03-20T01:00:00.000+01:00
ANE,0.0,43.2,5.536700767263443,2018-03-20T01:00:00.000+01:00,2018-04-19T02:00:00.000+02:00
ANE,0.0,25.6,4.878410750803369,2018-04-19T02:00:00.000+02:00,2018-05-19T02:00:00.000+02:00
ANE,0.0,26.4,5.07224199288256,2018-05-19T02:00:00.000+02:00,2018-06-18T02:00:00.000+02:00
ANE,0.0,28.8,6.087798379038505,2018-06-18T02:00:00.000+02:00,2018-07-18T02:00:00.000+02:00
ANE,0.0,36.0,5.593643394427359,2018-07-18T02:00:00.000+02:00,2018-08-17T02:00:00.000+02:00
ANE,0.0,25.6,5.003346290349845,2018-08-17T02:00:00.000+02:00,2018-09-16T02:00:00.000+02:00
ANE,0.0,27.2,3.9200601051840787,2018-09-16T02:00:00.000+02:00,2018-10-16T02:00:00.000+02:00
ANE,0.0,84.0,5.106124924196484,2018-10-16T02:00:00.000+02:00,2018-11-15T01:00:00.000+01:00
ANE,0.0,27.2,4.6265221017514575,2018-11-15T01:00:00.000+01:00,2018-12-15T01:00:00.000+01:00
ANE,0.0,32.0,4.194466564573757,2018-12-15T01:00:00.000+01:00,2019-01-14T01:00:00.000+01:00
ANE,0.0,39.2,5.430060816681154,2019-01-14T01:00:00.000+01:00,2019-02-13T01:00:00.000+01:00
ANE,0.0,53.6,6.04373247897477,2019-02-13T01:00:00.000+01:00,2019-03-15T01:00:00.000+01:00
ANE,0.0,24.0,4.230388692579501,2019-03-15T01:00:00.000+01:00,2019-04-14T02:00:00.000+02:00
