sensor,min,max,avg,start,end
ANE,3.2,19.2,9.560975609756099,2018-02-21T16:00:00.000+01:00,2018-02-21T17:00:00.000+01:00
ANE,4.0,18.4,10.269767441860465,2018-02-21T17:00:00.000+01:00,2018-02-21T18:00:00.000+01:00
ANE,4.0,16.8,9.090909090909092,2018-02-21T18:00:00.000+01:00,2018-02-21T19:00:00.000+01:00
ANE,4.0,13.6,7.654545454545456,2018-02-21T19:00:00.000+01:00,2018-02-21T20:00:00.000+01:00
ANE,3.2,14.4,7.545945945945944,2018-02-21T20:00:00.000+01:00,2018-02-21T21:00:00.000+01:00
ANE,4.8,17.6,9.79047619047619,2018-02-21T21:00:00.000+01:00,2018-02-21T22:00:00.000+01:00
ANE,4.0,16.0,8.541176470588237,2018-02-21T22:00:00.000+01:00,2018-02-21T23:00:00.000+01:00
ANE,2.4,11.2,6.3999999999999995,2018-02-21T23:00:00.000+01:00,2018-02-22T00:00:00.000+01:00
ANE,1.6,9.6,5.626666666666666,2018-02-22T00:00:00.000+01:00,2018-02-22T01:00:00.000+01:00
ANE,3.2,8.0,5.411764705882352,2018-02-22T01:00:00.000+01:00,2018-02-22T02:00:00.000+01:00
ANE,0.8,8.8,5.234285714285716,2018-02-22T02:00:00.000+01:00,2018-02-22T03:00:00.000+01:00
ANE,0.8,8.0,4.984615384615385,2018-02-22T03:00:00.000+01:00,2018-02-22T04:00:00.000+01:00
ANE,1.6,12.0,5.714285714285714,2018-02-22T04:00:00.000+01:00,2018-02-22T05:00:00.000+01:00
ANE,0.8,9.6,4.863999999999999,2018-02-22T05:00:00.000+01:00,2018-02-22T06:00:00.000+01:00
ANE,1.6,9.6,4.076190476190476,2018-02-22T06:00:00.000+01:00,2018-02-22T07:00:00.000+01:00
ANE,1.6,10.4,5.574193548387097,2018-02-22T07:00:00.000+01:00,2018-02-22T08:00:00.000+01:00
ANE,0.8,12.0,5.577142857142857,2018-02-22T08:00:00.000+01:00,2018-02-22T09:00:00.000+01:00
ANE,1.6,12.0,6.352941176470588,2018-02-22T09:00:00.000+01:00,2018-02-22T10:00:00.000+01:00
ANE,0.8,11.2,5.875,2018-02-22T10:00:00.000+01:00,2018-02-22T11:00:00.000+01:00
ANE,0.8,12.8,3.833333333333334,2018-02-22T11:00:00.000+01:00,2018-02-22T12:00:00.000+01:00
ANE,2.4,8.0,4.670967741935484,2018-02-22T12:00:00.000+01:00,2018-02-22T13:00:00.000+01:00
ANE,1.6,13.6,5.650000000000001,2018-02-22T13:00:00.000+01:00,2018-02-22T14:00:00.000+01:00
ANE,2.4,16.0,6.85,2018-02-22T14:00:00.000+01:00,2018-02-22T15:00:00.000+01:00
ANE,0.8,10.4,5.83225806451613,2018-02-22T15:00:00.000+01:00,2018-02-22T16:00:00.000+01:00
ANE,1.6,16.8,5.958620689655172,2018-02-22T16:00:00.000+01:00,2018-02-22T17:00:00.000+01:00
ANE,2.4,14.4,6.986666666666666,2018-02-22T17:00:00.000+01:00,2018-02-22T18:00:00.000+01:00
ANE,4.0,22.4,10.84,2018-02-22T18:00:00.000+01:00,2018-02-22T19:00:00.000+01:00
ANE,3.2,25.6,12.221276595744685,2018-02-22T19:00:00.000+01:00,2018-02-22T20:00:00.000+01:00
ANE,2.4,20.8,9.717073170731709,2018-02-22T20:00:00.000+01:00,2018-02-22T21:00:00.000+01:00
ANE,3.2,17.6,8.899999999999999,2018-02-22T21:00:00.000+01:00,2018-02-22T22:00:00.000+01:00
ANE,4.0,12.0,7.0,2018-02-22T22:00:00.000+01:00,2018-02-22T23:00:00.000+01:00
ANE,3.2,12.0,5.649999999999999,2018-02-22T23:00:00.000+01:00,2018-02-23T00:00:00.000+01:00
ANE,2.4,10.4,5.599999999999998,2018-02-23T00:00:00.000+01:00,2018-02-23T01:00:00.000+01:00
ANE,1.6,8.8,4.693333333333332,2018-02-23T01:00:00.000+01:00,2018-02-23T02:00:00.000+01:00
ANE,2.4,7.2,4.717241379310345,2018-02-23T02:00:00.000+01:00,2018-02-23T03:00:00.000+01:00
ANE,0.0,8.0,3.866666666666666,2018-02-23T03:00:00.000+01:00,2018-02-23T04:00:00.000+01:00
ANE,0.8,4.8,2.821052631578947,2018-02-23T04:00:00.000+01:00,2018-02-23T05:00:00.000+01:00
ANE,0.0,10.4,3.4666666666666663,2018-02-23T05:00:00.000+01:00,2018-02-23T06:00:00.000+01:00
ANE,0.8,7.2,4.0,2018-02-23T06:00:00.000+01:00,2018-02-23T07:00:00.000+01:00
ANE,1.6,8.0,4.243478260869565,2018-02-23T07:00:00.000+01:00,2018-02-23T08:00:00.000+01:00
ANE,0.8,12.0,6.248648648648649,2018-02-23T08:00:00.000+01:00,2018-02-23T09:00:00.000+01:00
ANE,1.6,10.4,5.573333333333333,2018-02-23T09:00:00.000+01:00,2018-02-23T10:00:00.000+01:00
ANE,2.4,9.6,5.723076923076922,2018-02-23T10:00:00.000+01:00,2018-02-23T11:00:00.000+01:00
ANE,1.6,14.4,6.8878048780487795,2018-02-23T11:00:00.000+01:00,2018-02-23T12:00:00.000+01:00
ANE,0.8,14.4,5.651612903225807,2018-02-23T12:00:00.000+01:00,2018-02-23T13:00:00.000+01:00
ANE,0.8,13.6,6.072727272727274,2018-02-23T13:00:00.000+01:00,2018-02-23T14:00:00.000+01:00
ANE,0.0,15.2,5.6800000000000015,2018-02-23T14:00:00.000+01:00,2018-02-23T15:00:00.000+01:00
ANE,1.6,13.6,6.568421052631579,2018-02-23T15:00:00.000+01:00,2018-02-23T16:00:00.000+01:00
ANE,1.6,12.8,6.514285714285715,2018-02-23T16:00:00.000+01:00,2018-02-23T17:00:00.000+01:00
ANE,0.8,9.6,4.75294117647059,2018-02-23T17:00:00.000+01:00,2018-02-23T18:00:00.000+01:00
ANE,1.6,14.4,6.2787878787878775,2018-02-23T18:00:00.000+01:00,2018-02-23T19:00:00.000+01:00
ANE,1.6,11.2,4.992,2018-02-23T19:00:00.000+01:00,2018-02-23T20:00:00.000+01:00
ANE,0.0,9.6,5.9393939393939394,2018-02-23T20:00:00.000+01:00,2018-02-23T21:00:00.000+01:00
ANE,1.6,12.0,5.493333333333333,2018-02-23T21:00:00.000+01:00,2018-02-23T22:00:00.000+01:00
ANE,0.8,10.4,5.572413793103448,2018-02-23T22:00:00.000+01:00,2018-02-23T23:00:00.000+01:00
ANE,0.0,6.4,2.7789473684210533,2018-02-23T23:00:00.000+01:00,2018-02-24T00:00:00.000+01:00
ANE,0.0,7.2,3.1157894736842104,2018-02-24T00:00:00.000+01:00,2018-02-24T01:00:00.000+01:00
ANE,0.0,5.6,1.6,2018-02-24T01:00:00.000+01:00,2018-02-24T02:00:00.000+01:00
ANE,0.0,4.8,2.588235294117647,2018-02-24T02:00:00.000+01:00,2018-02-24T03:00:00.000+01:00
ANE,0.0,5.6,1.4400000000000002,2018-02-24T03:00:00.000+01:00,2018-02-24T04:00:00.000+01:00
ANE,0.0,7.2,2.6526315789473682,2018-02-24T04:00:00.000+01:00,2018-02-24T05:00:00.000+01:00
ANE,0.0,1.6,0.4799999999999999,2018-02-24T05:00:00.000+01:00,2018-02-24T06:00:00.000+01:00
