value,timestamp
0.00,2018-06-20 00:03:44
0.00,2018-06-21 00:04:46
0.00,2018-06-22 00:02:51
0.00,2018-06-23 00:02:05
0.00,2018-06-24 00:02:36
0.00,2018-06-25 00:03:21
0.84,2018-06-26 00:03:54
0.00,2018-06-27 00:03:07
0.00,2018-06-28 00:05:03
1.96,2018-06-29 00:01:01
0.00,2018-06-30 00:03:27
0.00,2018-07-01 00:04:57
0.00,2018-07-03 00:03:23
0.00,2018-07-04 00:04:57
0.00,2018-07-05 00:03:06
0.00,2018-07-06 00:03:02
0.00,2018-07-07 00:05:29
0.00,2018-07-08 00:02:42
0.00,2018-07-09 00:04:36
0.00,2018-07-10 00:03:23
0.00,2018-07-11 00:01:56
0.00,2018-07-12 00:02:53
0.00,2018-07-13 00:04:34
0.00,2018-07-14 00:01:35
0.00,2018-07-15 00:03:24
0.00,2018-07-16 00:02:27
20.68,2018-07-17 00:03:38
2.24,2018-07-18 00:03:26
0.00,2018-07-19 00:04:40
0.00,2018-07-20 00:03:25
0.00,2018-07-21 00:02:55
0.00,2018-07-22 00:03:20
0.00,2018-07-23 00:04:16
7.26,2018-07-24 00:04:53
0.00,2018-07-25 00:03:44
0.00,2018-07-26 00:04:10
8.38,2018-07-27 00:03:50
0.00,2018-07-28 00:04:53
0.00,2018-07-29 00:05:07
0.00,2018-07-30 00:04:55
0.00,2018-07-31 00:01:35
0.00,2018-08-01 00:04:20
0.00,2018-08-02 00:01:57
0.00,2018-08-03 00:02:51
0.56,2018-08-04 00:05:05
3.35,2018-08-05 00:02:38
0.00,2018-08-06 00:02:58
0.00,2018-08-07 00:03:39
0.00,2018-08-08 00:04:35
0.56,2018-08-09 00:02:37
0.00,2018-08-10 00:03:37
0.00,2018-08-11 00:03:19
0.00,2018-08-12 00:04:19
0.00,2018-08-13 00:04:02
0.00,2018-08-14 00:04:10
2.51,2018-08-15 00:05:41
0.00,2018-08-28 16:56:48
0.00,2018-08-29 16:57:50
0.00,2018-08-30 16:58:02
0.00,2018-08-31 16:57:06
31.57,2018-09-01 16:56:28
0.00,2018-09-02 16:56:30
0.00,2018-09-03 16:54:32
0.00,2018-09-04 16:57:05
0.00,2018-09-05 16:56:04
0.00,2018-09-06 16:56:36
