sensor;min;max;avg;start;end
HUM;56.9;60.7;58.41333333333332;2018-02-21T16:00:00.000+01:00;2018-02-21T17:00:00.000+01:00
HUM;60.6;66.7;63.306666666666665;2018-02-21T17:00:00.000+01:00;2018-02-21T18:00:00.000+01:00
HUM;67.1;71.4;69.58;2018-02-21T18:00:00.000+01:00;2018-02-21T19:00:00.000+01:00
HUM;71.1;71.8;71.42;2018-02-21T19:00:00.000+01:00;2018-02-21T20:00:00.000+01:00
HUM;71.2;75.4;73.14000000000001;2018-02-21T20:00:00.000+01:00;2018-02-21T21:00:00.000+01:00
HUM;74.0;82.9;79.18;2018-02-21T21:00:00.000+01:00;2018-02-21T22:00:00.000+01:00
HUM;81.7;85.1;83.10000000000001;2018-02-21T22:00:00.000+01:00;2018-02-21T23:00:00.000+01:00
HUM;84.9;87.3;86.18666666666665;2018-02-21T23:00:00.000+01:00;2018-02-22T00:00:00.000+01:00
HUM;86.9;87.4;87.12666666666668;2018-02-22T00:00:00.000+01:00;2018-02-22T01:00:00.000+01:00
HUM;87.7;89.9;88.94;2018-02-22T01:00:00.000+01:00;2018-02-22T02:00:00.000+01:00
HUM;89.8;91.0;90.37333333333335;2018-02-22T02:00:00.000+01:00;2018-02-22T03:00:00.000+01:00
HUM;91.3;92.0;91.67999999999999;2018-02-22T03:00:00.000+01:00;2018-02-22T04:00:00.000+01:00
HUM;92.4;95.2;93.78666666666666;2018-02-22T04:00:00.000+01:00;2018-02-22T05:00:00.000+01:00
HUM;95.0;97.4;96.36000000000003;2018-02-22T05:00:00.000+01:00;2018-02-22T06:00:00.000+01:00
HUM;96.2;97.6;96.96;2018-02-22T06:00:00.000+01:00;2018-02-22T07:00:00.000+01:00
HUM;92.9;97.6;95.42666666666668;2018-02-22T07:00:00.000+01:00;2018-02-22T08:00:00.000+01:00
HUM;87.8;92.7;90.44;2018-02-22T08:00:00.000+01:00;2018-02-22T09:00:00.000+01:00
HUM;85.3;87.1;85.97333333333333;2018-02-22T09:00:00.000+01:00;2018-02-22T10:00:00.000+01:00
HUM;86.0;87.6;86.82;2018-02-22T10:00:00.000+01:00;2018-02-22T11:00:00.000+01:00
HUM;87.7;96.0;91.49333333333334;2018-02-22T11:00:00.000+01:00;2018-02-22T12:00:00.000+01:00
HUM;95.4;100.0;99.18571428571428;2018-02-22T12:00:00.000+01:00;2018-02-22T13:00:00.000+01:00
HUM;94.3;100.0;97.58666666666667;2018-02-22T13:00:00.000+01:00;2018-02-22T14:00:00.000+01:00
HUM;94.5;98.7;95.7;2018-02-22T14:00:00.000+01:00;2018-02-22T15:00:00.000+01:00
HUM;99.8;100.0;99.98666666666666;2018-02-22T15:00:00.000+01:00;2018-02-22T16:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-22T16:00:00.000+01:00;2018-02-22T17:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-22T17:00:00.000+01:00;2018-02-22T18:00:00.000+01:00
HUM;96.0;100.0;99.36;2018-02-22T18:00:00.000+01:00;2018-02-22T19:00:00.000+01:00
HUM;94.4;100.0;97.66000000000001;2018-02-22T19:00:00.000+01:00;2018-02-22T20:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-22T20:00:00.000+01:00;2018-02-22T21:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-22T21:00:00.000+01:00;2018-02-22T22:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-22T22:00:00.000+01:00;2018-02-22T23:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-22T23:00:00.000+01:00;2018-02-23T00:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T00:00:00.000+01:00;2018-02-23T01:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T01:00:00.000+01:00;2018-02-23T02:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T02:00:00.000+01:00;2018-02-23T03:00:00.000+01:00
HUM;99.0;100.0;99.82857142857142;2018-02-23T03:00:00.000+01:00;2018-02-23T04:00:00.000+01:00
HUM;97.3;99.2;98.03999999999999;2018-02-23T04:00:00.000+01:00;2018-02-23T05:00:00.000+01:00
HUM;96.1;97.8;97.03333333333333;2018-02-23T05:00:00.000+01:00;2018-02-23T06:00:00.000+01:00
HUM;97.2;99.5;98.81333333333332;2018-02-23T06:00:00.000+01:00;2018-02-23T07:00:00.000+01:00
HUM;97.4;98.9;98.14666666666669;2018-02-23T07:00:00.000+01:00;2018-02-23T08:00:00.000+01:00
HUM;97.5;99.4;98.43333333333334;2018-02-23T08:00:00.000+01:00;2018-02-23T09:00:00.000+01:00
HUM;96.4;99.8;98.03333333333333;2018-02-23T09:00:00.000+01:00;2018-02-23T10:00:00.000+01:00
HUM;99.9;100.0;99.99333333333334;2018-02-23T10:00:00.000+01:00;2018-02-23T11:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T11:00:00.000+01:00;2018-02-23T12:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T12:00:00.000+01:00;2018-02-23T13:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T13:00:00.000+01:00;2018-02-23T14:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T14:00:00.000+01:00;2018-02-23T15:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T15:00:00.000+01:00;2018-02-23T16:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T16:00:00.000+01:00;2018-02-23T17:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T17:00:00.000+01:00;2018-02-23T18:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T18:00:00.000+01:00;2018-02-23T19:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T19:00:00.000+01:00;2018-02-23T20:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T20:00:00.000+01:00;2018-02-23T21:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T21:00:00.000+01:00;2018-02-23T22:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T22:00:00.000+01:00;2018-02-23T23:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-23T23:00:00.000+01:00;2018-02-24T00:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T00:00:00.000+01:00;2018-02-24T01:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T01:00:00.000+01:00;2018-02-24T02:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T02:00:00.000+01:00;2018-02-24T03:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T03:00:00.000+01:00;2018-02-24T04:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T04:00:00.000+01:00;2018-02-24T05:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T05:00:00.000+01:00;2018-02-24T06:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T06:00:00.000+01:00;2018-02-24T07:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T07:00:00.000+01:00;2018-02-24T08:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T08:00:00.000+01:00;2018-02-24T09:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T09:00:00.000+01:00;2018-02-24T10:00:00.000+01:00
HUM;98.1;100.0;99.78666666666666;2018-02-24T10:00:00.000+01:00;2018-02-24T11:00:00.000+01:00
HUM;89.5;97.4;93.35333333333331;2018-02-24T11:00:00.000+01:00;2018-02-24T12:00:00.000+01:00
HUM;94.1;100.0;98.58666666666666;2018-02-24T12:00:00.000+01:00;2018-02-24T13:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T13:00:00.000+01:00;2018-02-24T14:00:00.000+01:00
HUM;98.7;100.0;99.49333333333333;2018-02-24T14:00:00.000+01:00;2018-02-24T15:00:00.000+01:00
HUM;98.6;100.0;99.74666666666666;2018-02-24T15:00:00.000+01:00;2018-02-24T16:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T16:00:00.000+01:00;2018-02-24T17:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T17:00:00.000+01:00;2018-02-24T18:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T18:00:00.000+01:00;2018-02-24T19:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T19:00:00.000+01:00;2018-02-24T20:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-24T20:00:00.000+01:00;2018-02-24T21:00:00.000+01:00
HUM;98.0;100.0;99.13333333333334;2018-02-24T21:00:00.000+01:00;2018-02-24T22:00:00.000+01:00
HUM;97.9;100.0;99.23333333333335;2018-02-24T22:00:00.000+01:00;2018-02-24T23:00:00.000+01:00
HUM;98.3;100.0;99.53333333333332;2018-02-24T23:00:00.000+01:00;2018-02-25T00:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-25T00:00:00.000+01:00;2018-02-25T01:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-25T01:00:00.000+01:00;2018-02-25T02:00:00.000+01:00
HUM;99.7;100.0;99.95333333333333;2018-02-25T02:00:00.000+01:00;2018-02-25T03:00:00.000+01:00
HUM;98.9;100.0;99.69333333333333;2018-02-25T03:00:00.000+01:00;2018-02-25T04:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-25T04:00:00.000+01:00;2018-02-25T05:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-25T05:00:00.000+01:00;2018-02-25T06:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-25T06:00:00.000+01:00;2018-02-25T07:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-25T07:00:00.000+01:00;2018-02-25T08:00:00.000+01:00
HUM;100.0;100.0;100.0;2018-02-25T08:00:00.000+01:00;2018-02-25T09:00:00.000+01:00
HUM;84.1;100.0;95.3;2018-02-25T09:00:00.000+01:00;2018-02-25T10:00:00.000+01:00
HUM;75.6;84.4;79.20666666666666;2018-02-25T10:00:00.000+01:00;2018-02-25T11:00:00.000+01:00
HUM;73.5;80.0;76.76666666666667;2018-02-25T11:00:00.000+01:00;2018-02-25T12:00:00.000+01:00
HUM;68.2;74.1;70.28666666666668;2018-02-25T12:00:00.000+01:00;2018-02-25T13:00:00.000+01:00
HUM;61.8;70.7;67.08666666666667;2018-02-25T13:00:00.000+01:00;2018-02-25T14:00:00.000+01:00
HUM;70.8;78.3;72.9;2018-02-25T14:00:00.000+01:00;2018-02-25T15:00:00.000+01:00
HUM;79.7;98.6;89.46666666666667;2018-02-25T15:00:00.000+01:00;2018-02-25T16:00:00.000+01:00
HUM;97.2;100.0;99.16666666666667;2018-02-25T16:00:00.000+01:00;2018-02-25T17:00:00.000+01:00
