sensor,min,max,avg,start,end
LUX,1,13688,1219.2814814814815,2018-02-21T01:00:00.000+01:00,2018-02-22T01:00:00.000+01:00
LUX,0,16173,2646.019337016575,2018-02-22T01:00:00.000+01:00,2018-02-23T01:00:00.000+01:00
LUX,0,9159,1689.6666666666667,2018-02-23T01:00:00.000+01:00,2018-02-24T01:00:00.000+01:00
LUX,0,17716,2665.1944444444443,2018-02-24T01:00:00.000+01:00,2018-02-25T01:00:00.000+01:00
LUX,1,18591,2650.091922005571,2018-02-25T01:00:00.000+01:00,2018-02-26T01:00:00.000+01:00
LUX,1,18146,1420.1805555555557,2018-02-26T01:00:00.000+01:00,2018-02-27T01:00:00.000+01:00
LUX,1,14912,820.9027777777778,2018-02-27T01:00:00.000+01:00,2018-02-28T01:00:00.000+01:00
LUX,1,16795,1745.9277777777777,2018-02-28T01:00:00.000+01:00,2018-03-01T01:00:00.000+01:00
LUX,1,14883,1998.8361111111112,2018-03-01T01:00:00.000+01:00,2018-03-02T01:00:00.000+01:00
LUX,1,17589,2237.1944444444443,2018-03-02T01:00:00.000+01:00,2018-03-03T01:00:00.000+01:00
LUX,1,17874,2386.961111111111,2018-03-03T01:00:00.000+01:00,2018-03-04T01:00:00.000+01:00
LUX,1,17742,2846.175,2018-03-04T01:00:00.000+01:00,2018-03-05T01:00:00.000+01:00
LUX,1,12548,2469.0194986072424,2018-03-05T01:00:00.000+01:00,2018-03-06T01:00:00.000+01:00
LUX,1,18517,3192.766666666667,2018-03-06T01:00:00.000+01:00,2018-03-07T01:00:00.000+01:00
LUX,1,18423,2051.825,2018-03-07T01:00:00.000+01:00,2018-03-08T01:00:00.000+01:00
LUX,0,17293,1840.9052631578948,2018-03-08T01:00:00.000+01:00,2018-03-09T01:00:00.000+01:00
LUX,0,18675,2484.1014492753625,2018-03-09T01:00:00.000+01:00,2018-03-10T01:00:00.000+01:00
LUX,0,19586,2913.273381294964,2018-03-10T01:00:00.000+01:00,2018-03-11T01:00:00.000+01:00
LUX,0,17239,2426.7,2018-03-11T01:00:00.000+01:00,2018-03-12T01:00:00.000+01:00
LUX,0,17579,2383.049645390071,2018-03-12T01:00:00.000+01:00,2018-03-13T01:00:00.000+01:00
LUX,0,17144,1480.1285714285714,2018-03-13T01:00:00.000+01:00,2018-03-14T01:00:00.000+01:00
LUX,0,18457,1636.071942446043,2018-03-14T01:00:00.000+01:00,2018-03-15T01:00:00.000+01:00
LUX,0,18343,4300.879432624113,2018-03-15T01:00:00.000+01:00,2018-03-16T01:00:00.000+01:00
LUX,1,18583,2459.7285714285713,2018-03-16T01:00:00.000+01:00,2018-03-17T01:00:00.000+01:00
LUX,0,17264,4182.234042553191,2018-03-17T01:00:00.000+01:00,2018-03-18T01:00:00.000+01:00
LUX,0,18404,2322.716417910448,2018-03-18T01:00:00.000+01:00,2018-03-19T01:00:00.000+01:00
LUX,0,16748,2964.4930555555557,2018-03-19T01:00:00.000+01:00,2018-03-20T01:00:00.000+01:00
LUX,1,17874,4181.240875912409,2018-03-20T01:00:00.000+01:00,2018-03-21T01:00:00.000+01:00
LUX,0,17636,1772.3115942028985,2018-03-21T01:00:00.000+01:00,2018-03-22T01:00:00.000+01:00
LUX,0,16599,1713.6861313868612,2018-03-22T01:00:00.000+01:00,2018-03-23T01:00:00.000+01:00
LUX,0,14559,1443.0729927007299,2018-03-23T01:00:00.000+01:00,2018-03-24T01:00:00.000+01:00
LUX,0,17317,1949.9142857142858,2018-03-24T01:00:00.000+01:00,2018-03-25T01:00:00.000+01:00
LUX,0,12567,1141.231884057971,2018-03-25T01:00:00.000+01:00,2018-03-26T02:00:00.000+02:00
LUX,0,15811,2647.5851063829787,2018-03-26T02:00:00.000+02:00,2018-03-27T02:00:00.000+02:00
LUX,0,17652,1839.627192982456,2018-03-27T02:00:00.000+02:00,2018-03-28T02:00:00.000+02:00
LUX,0,17998,2849.318777292576,2018-03-28T02:00:00.000+02:00,2018-03-29T02:00:00.000+02:00
LUX,0,15725,2267.244541484716,2018-03-29T02:00:00.000+02:00,2018-03-30T02:00:00.000+02:00
LUX,0,17103,2818.3434782608697,2018-03-30T02:00:00.000+02:00,2018-03-31T02:00:00.000+02:00
LUX,1,18879,3456.6391304347826,2018-03-31T02:00:00.000+02:00,2018-04-01T02:00:00.000+02:00
LUX,0,16662,1712.9521739130435,2018-04-01T02:00:00.000+02:00,2018-04-02T02:00:00.000+02:00
LUX,0,13025,1188.9819004524886,2018-04-02T02:00:00.000+02:00,2018-04-03T02:00:00.000+02:00
LUX,0,16023,2229.311403508772,2018-04-03T02:00:00.000+02:00,2018-04-04T02:00:00.000+02:00
LUX,0,18557,3659.008695652174,2018-04-04T02:00:00.000+02:00,2018-04-05T02:00:00.000+02:00
LUX,0,18911,3082.277056277056,2018-04-05T02:00:00.000+02:00,2018-04-06T02:00:00.000+02:00
LUX,0,19270,1608.7136563876652,2018-04-06T02:00:00.000+02:00,2018-04-07T02:00:00.000+02:00
LUX,0,12691,1126.5589519650655,2018-04-07T02:00:00.000+02:00,2018-04-08T02:00:00.000+02:00
LUX,0,17131,1786.2412280701753,2018-04-08T02:00:00.000+02:00,2018-04-09T02:00:00.000+02:00
LUX,0,10904,2292.232558139535,2018-04-09T02:00:00.000+02:00,2018-04-10T02:00:00.000+02:00
LUX,0,16371,1540.414847161572,2018-04-10T02:00:00.000+02:00,2018-04-11T02:00:00.000+02:00
LUX,0,18323,3523.817391304348,2018-04-11T02:00:00.000+02:00,2018-04-12T02:00:00.000+02:00
LUX,0,17792,5352.533039647577,2018-04-12T02:00:00.000+02:00,2018-04-13T02:00:00.000+02:00
LUX,0,17885,2715.964757709251,2018-04-13T02:00:00.000+02:00,2018-04-14T02:00:00.000+02:00
LUX,0,17297,1907.3275109170306,2018-04-14T02:00:00.000+02:00,2018-04-15T02:00:00.000+02:00
LUX,0,16762,4314.986842105263,2018-04-15T02:00:00.000+02:00,2018-04-16T02:00:00.000+02:00
LUX,0,14840,1599.4956140350878,2018-04-16T02:00:00.000+02:00,2018-04-17T02:00:00.000+02:00
LUX,0,16756,2427.8903508771928,2018-04-17T02:00:00.000+02:00,2018-04-18T02:00:00.000+02:00
LUX,0,18505,3394.069868995633,2018-04-18T02:00:00.000+02:00,2018-04-19T02:00:00.000+02:00
LUX,0,15554,1678.215859030837,2018-04-19T02:00:00.000+02:00,2018-04-20T02:00:00.000+02:00
LUX,0,15030,1494.480349344978,2018-04-20T02:00:00.000+02:00,2018-04-21T02:00:00.000+02:00
LUX,0,15204,1480.6991150442477,2018-04-21T02:00:00.000+02:00,2018-04-22T02:00:00.000+02:00
LUX,0,18018,1754.646288209607,2018-04-22T02:00:00.000+02:00,2018-04-23T02:00:00.000+02:00
LUX,0,16779,1764.2555066079294,2018-04-23T02:00:00.000+02:00,2018-04-24T02:00:00.000+02:00
LUX,1,16288,1758.907894736842,2018-04-24T02:00:00.000+02:00,2018-04-25T02:00:00.000+02:00
LUX,1,14817,1546.8810572687225,2018-04-25T02:00:00.000+02:00,2018-04-26T02:00:00.000+02:00
LUX,1,15558,1666.1315789473683,2018-04-26T02:00:00.000+02:00,2018-04-27T02:00:00.000+02:00
LUX,1,16362,1784.1607142857142,2018-04-27T02:00:00.000+02:00,2018-04-28T02:00:00.000+02:00
LUX,1,17956,2868.9824561403507,2018-04-28T02:00:00.000+02:00,2018-04-29T02:00:00.000+02:00
LUX,1,15451,1590.6184210526317,2018-04-29T02:00:00.000+02:00,2018-04-30T02:00:00.000+02:00
LUX,1,17726,2238.942731277533,2018-04-30T02:00:00.000+02:00,2018-05-01T02:00:00.000+02:00
LUX,1,16897,4347.390350877193,2018-05-01T02:00:00.000+02:00,2018-05-02T02:00:00.000+02:00
LUX,1,17577,4501.6899563318775,2018-05-02T02:00:00.000+02:00,2018-05-03T02:00:00.000+02:00
LUX,1,17332,3962.762931034483,2018-05-03T02:00:00.000+02:00,2018-05-04T02:00:00.000+02:00
LUX,1,18693,5001.126637554585,2018-05-04T02:00:00.000+02:00,2018-05-05T02:00:00.000+02:00
LUX,1,18409,3129.465217391304,2018-05-05T02:00:00.000+02:00,2018-05-06T02:00:00.000+02:00
LUX,1,18160,5755.7400881057265,2018-05-06T02:00:00.000+02:00,2018-05-07T02:00:00.000+02:00
LUX,1,18718,3033.0476190476193,2018-05-07T02:00:00.000+02:00,2018-05-08T02:00:00.000+02:00
LUX,1,17645,3112.2286995515697,2018-05-08T02:00:00.000+02:00,2018-05-09T02:00:00.000+02:00
LUX,1,18459,2917.838427947598,2018-05-09T02:00:00.000+02:00,2018-05-10T02:00:00.000+02:00
LUX,1,17888,3233.9115044247787,2018-05-10T02:00:00.000+02:00,2018-05-11T02:00:00.000+02:00
LUX,1,17836,2653.5371179039303,2018-05-11T02:00:00.000+02:00,2018-05-12T02:00:00.000+02:00
LUX,1,18414,4097.275109170306,2018-05-12T02:00:00.000+02:00,2018-05-13T02:00:00.000+02:00
LUX,1,20298,3201.386956521739,2018-05-13T02:00:00.000+02:00,2018-05-14T02:00:00.000+02:00
LUX,1,17832,2945.886462882096,2018-05-14T02:00:00.000+02:00,2018-05-15T02:00:00.000+02:00
LUX,1,18167,4637.021739130435,2018-05-15T02:00:00.000+02:00,2018-05-16T02:00:00.000+02:00
LUX,1,19806,3386.3930131004367,2018-05-16T02:00:00.000+02:00,2018-05-17T02:00:00.000+02:00
LUX,1,20126,3121.296943231441,2018-05-17T02:00:00.000+02:00,2018-05-18T02:00:00.000+02:00
LUX,1,20579,2723.8070175438597,2018-05-18T02:00:00.000+02:00,2018-05-19T02:00:00.000+02:00
LUX,1,20012,2573.349344978166,2018-05-19T02:00:00.000+02:00,2018-05-20T02:00:00.000+02:00
LUX,1,19361,2135.5131578947367,2018-05-20T02:00:00.000+02:00,2018-05-21T02:00:00.000+02:00
LUX,1,18282,4553.74672489083,2018-05-21T02:00:00.000+02:00,2018-05-22T02:00:00.000+02:00
LUX,1,17802,3671.8515283842794,2018-05-22T02:00:00.000+02:00,2018-05-23T02:00:00.000+02:00
LUX,1,18297,4757.210526315789,2018-05-23T02:00:00.000+02:00,2018-05-24T02:00:00.000+02:00
LUX,1,20078,2632.375,2018-05-24T02:00:00.000+02:00,2018-05-25T02:00:00.000+02:00
LUX,0,20236,2440.9429824561403,2018-05-25T02:00:00.000+02:00,2018-05-26T02:00:00.000+02:00
LUX,1,18767,2438.6943231441046,2018-05-26T02:00:00.000+02:00,2018-05-27T02:00:00.000+02:00
LUX,1,17421,3224.8991228070176,2018-05-27T02:00:00.000+02:00,2018-05-28T02:00:00.000+02:00
LUX,1,17872,3414.8333333333335,2018-05-28T02:00:00.000+02:00,2018-05-29T02:00:00.000+02:00
LUX,1,18054,3061.0174672489084,2018-05-29T02:00:00.000+02:00,2018-05-30T02:00:00.000+02:00
LUX,1,17551,2781.4628820960697,2018-05-30T02:00:00.000+02:00,2018-05-31T02:00:00.000+02:00
LUX,1,20455,2431.6607929515417,2018-05-31T02:00:00.000+02:00,2018-06-01T02:00:00.000+02:00
LUX,1,20113,2483.6929824561403,2018-06-01T02:00:00.000+02:00,2018-06-02T02:00:00.000+02:00
LUX,1,20358,2480.035242290749,2018-06-02T02:00:00.000+02:00,2018-06-03T02:00:00.000+02:00
LUX,1,16410,2453.720524017467,2018-06-03T02:00:00.000+02:00,2018-06-04T02:00:00.000+02:00
LUX,1,18021,2735.2105263157896,2018-06-04T02:00:00.000+02:00,2018-06-05T02:00:00.000+02:00
LUX,1,21310,4195.30735930736,2018-06-05T02:00:00.000+02:00,2018-06-06T02:00:00.000+02:00
LUX,1,17480,2583.3991228070176,2018-06-06T02:00:00.000+02:00,2018-06-07T02:00:00.000+02:00
LUX,1,18425,3253.245535714286,2018-06-07T02:00:00.000+02:00,2018-06-08T02:00:00.000+02:00
LUX,0,13270,1048.368,2018-06-19T02:00:00.000+02:00,2018-06-20T02:00:00.000+02:00
LUX,0,15478,4422.910769230769,2018-06-20T02:00:00.000+02:00,2018-06-21T02:00:00.000+02:00
LUX,0,15045,4420.124242424243,2018-06-21T02:00:00.000+02:00,2018-06-22T02:00:00.000+02:00
