sensor,min,max,avg,plvTotal,start,end
LUX,4337,13688,9373.8,0.0,2018-02-21T16:00:00.000+01:00,2018-02-21T17:00:00.000+01:00
LUX,87,3932,1585.4666666666667,0.0,2018-02-21T17:00:00.000+01:00,2018-02-21T18:00:00.000+01:00
LUX,1,48,7.133333333333334,0.0,2018-02-21T18:00:00.000+01:00,2018-02-21T19:00:00.000+01:00
LUX,1,2,1.4666666666666666,0.0,2018-02-21T19:00:00.000+01:00,2018-02-21T20:00:00.000+01:00
LUX,1,2,1.6666666666666667,0.0,2018-02-21T20:00:00.000+01:00,2018-02-21T21:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-21T21:00:00.000+01:00,2018-02-21T22:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-21T22:00:00.000+01:00,2018-02-21T23:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-21T23:00:00.000+01:00,2018-02-22T00:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-22T00:00:00.000+01:00,2018-02-22T01:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-22T01:00:00.000+01:00,2018-02-22T02:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-22T02:00:00.000+01:00,2018-02-22T03:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-22T03:00:00.000+01:00,2018-02-22T04:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-22T04:00:00.000+01:00,2018-02-22T05:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-22T05:00:00.000+01:00,2018-02-22T06:00:00.000+01:00
LUX,1,354,55.53333333333333,0.0,2018-02-22T06:00:00.000+01:00,2018-02-22T07:00:00.000+01:00
LUX,495,8485,3488.5333333333333,0.0,2018-02-22T07:00:00.000+01:00,2018-02-22T08:00:00.000+01:00
LUX,9126,13020,10848.066666666668,0.0,2018-02-22T08:00:00.000+01:00,2018-02-22T09:00:00.000+01:00
LUX,4397,16173,9838.733333333334,0.0,2018-02-22T09:00:00.000+01:00,2018-02-22T10:00:00.000+01:00
LUX,3414,10531,6594.266666666666,0.0,2018-02-22T10:00:00.000+01:00,2018-02-22T11:00:00.000+01:00
LUX,5037,8302,6589.533333333334,0.0,2018-02-22T11:00:00.000+01:00,2018-02-22T12:00:00.000+01:00
LUX,6032,10535,8635.266666666666,0.56,2018-02-22T12:00:00.000+01:00,2018-02-22T13:00:00.000+01:00
LUX,5103,8341,6841.266666666666,1.68,2018-02-22T13:00:00.000+01:00,2018-02-22T14:00:00.000+01:00
LUX,3890,7034,5277.6,0.28,2018-02-22T14:00:00.000+01:00,2018-02-22T15:00:00.000+01:00
LUX,2120,4615,3298.6,1.68,2018-02-22T15:00:00.000+01:00,2018-02-22T16:00:00.000+01:00
LUX,1181,2719,2017.0,0.56,2018-02-22T16:00:00.000+01:00,2018-02-22T17:00:00.000+01:00
LUX,23,1185,314.70588235294116,0.84,2018-02-22T17:00:00.000+01:00,2018-02-22T18:00:00.000+01:00
LUX,1,20,4.733333333333333,0.56,2018-02-22T18:00:00.000+01:00,2018-02-22T19:00:00.000+01:00
LUX,1,2,1.8666666666666667,0.56,2018-02-22T19:00:00.000+01:00,2018-02-22T20:00:00.000+01:00
LUX,1,4,1.8666666666666667,0.28,2018-02-22T20:00:00.000+01:00,2018-02-22T21:00:00.000+01:00
LUX,1,2,1.1333333333333333,2.24,2018-02-22T21:00:00.000+01:00,2018-02-22T22:00:00.000+01:00
LUX,0,1,0.4,0.0,2018-02-22T22:00:00.000+01:00,2018-02-22T23:00:00.000+01:00
LUX,0,1,0.9333333333333333,0.0,2018-02-22T23:00:00.000+01:00,2018-02-23T00:00:00.000+01:00
LUX,0,1,0.26666666666666666,0.0,2018-02-23T00:00:00.000+01:00,2018-02-23T01:00:00.000+01:00
LUX,0,1,0.6666666666666666,0.0,2018-02-23T01:00:00.000+01:00,2018-02-23T02:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-23T02:00:00.000+01:00,2018-02-23T03:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-23T03:00:00.000+01:00,2018-02-23T04:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-23T04:00:00.000+01:00,2018-02-23T05:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-23T05:00:00.000+01:00,2018-02-23T06:00:00.000+01:00
LUX,1,170,30.133333333333333,0.0,2018-02-23T06:00:00.000+01:00,2018-02-23T07:00:00.000+01:00
LUX,255,1305,843.2,0.0,2018-02-23T07:00:00.000+01:00,2018-02-23T08:00:00.000+01:00
LUX,1558,4905,3165.5333333333333,0.28,2018-02-23T08:00:00.000+01:00,2018-02-23T09:00:00.000+01:00
LUX,2512,5909,4282.066666666667,0.28,2018-02-23T09:00:00.000+01:00,2018-02-23T10:00:00.000+01:00
LUX,4736,8818,6706.933333333333,1.12,2018-02-23T10:00:00.000+01:00,2018-02-23T11:00:00.000+01:00
LUX,4484,8520,5915.266666666666,1.4,2018-02-23T11:00:00.000+01:00,2018-02-23T12:00:00.000+01:00
LUX,3138,9159,5422.066666666667,2.51,2018-02-23T12:00:00.000+01:00,2018-02-23T13:00:00.000+01:00
LUX,4384,8677,6393.066666666667,3.35,2018-02-23T13:00:00.000+01:00,2018-02-23T14:00:00.000+01:00
LUX,1879,5198,3118.733333333333,5.03,2018-02-23T14:00:00.000+01:00,2018-02-23T15:00:00.000+01:00
LUX,1937,3202,2531.133333333333,3.07,2018-02-23T15:00:00.000+01:00,2018-02-23T16:00:00.000+01:00
LUX,705,2526,1784.0,1.12,2018-02-23T16:00:00.000+01:00,2018-02-23T17:00:00.000+01:00
LUX,31,847,345.8666666666667,0.56,2018-02-23T17:00:00.000+01:00,2018-02-23T18:00:00.000+01:00
LUX,1,18,3.466666666666667,0.0,2018-02-23T18:00:00.000+01:00,2018-02-23T19:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-23T19:00:00.000+01:00,2018-02-23T20:00:00.000+01:00
LUX,1,1,1.0,0.0,2018-02-23T20:00:00.000+01:00,2018-02-23T21:00:00.000+01:00
LUX,1,1,1.0,0.28,2018-02-23T21:00:00.000+01:00,2018-02-23T22:00:00.000+01:00
LUX,1,1,1.0,0.28,2018-02-23T22:00:00.000+01:00,2018-02-23T23:00:00.000+01:00
LUX,1,1,1.0,0.28,2018-02-23T23:00:00.000+01:00,2018-02-24T00:00:00.000+01:00
LUX,0,1,0.8666666666666667,0.28,2018-02-24T00:00:00.000+01:00,2018-02-24T01:00:00.000+01:00
LUX,0,1,0.3333333333333333,0.56,2018-02-24T01:00:00.000+01:00,2018-02-24T02:00:00.000+01:00
LUX,0,1,0.06666666666666667,0.0,2018-02-24T02:00:00.000+01:00,2018-02-24T03:00:00.000+01:00
LUX,0,1,0.6666666666666666,0.0,2018-02-24T03:00:00.000+01:00,2018-02-24T04:00:00.000+01:00
LUX,0,1,0.9333333333333333,0.84,2018-02-24T04:00:00.000+01:00,2018-02-24T05:00:00.000+01:00
LUX,0,1,0.13333333333333333,1.12,2018-02-24T05:00:00.000+01:00,2018-02-24T06:00:00.000+01:00
LUX,0,184,29.666666666666668,0.28,2018-02-24T06:00:00.000+01:00,2018-02-24T07:00:00.000+01:00
LUX,251,3334,1996.4,0.0,2018-02-24T07:00:00.000+01:00,2018-02-24T08:00:00.000+01:00
LUX,4053,6464,5300.066666666667,0.0,2018-02-24T08:00:00.000+01:00,2018-02-24T09:00:00.000+01:00
LUX,5572,8553,7114.466666666666,0.28,2018-02-24T09:00:00.000+01:00,2018-02-24T10:00:00.000+01:00
LUX,6278,17508,10371.133333333333,0.56,2018-02-24T10:00:00.000+01:00,2018-02-24T11:00:00.000+01:00
LUX,7865,17716,13363.2,0.0,2018-02-24T11:00:00.000+01:00,2018-02-24T12:00:00.000+01:00
LUX,2566,8214,4859.466666666666,0.0,2018-02-24T12:00:00.000+01:00,2018-02-24T13:00:00.000+01:00
LUX,3517,10226,7471.733333333334,0.28,2018-02-24T13:00:00.000+01:00,2018-02-24T14:00:00.000+01:00
LUX,5741,10662,7589.333333333333,0.0,2018-02-24T14:00:00.000+01:00,2018-02-24T15:00:00.000+01:00
LUX,1416,6065,3355.3333333333335,0.28,2018-02-24T15:00:00.000+01:00,2018-02-24T16:00:00.000+01:00
LUX,1108,2791,1842.1333333333334,0.56,2018-02-24T16:00:00.000+01:00,2018-02-24T17:00:00.000+01:00
