sensor,total,start,end
PLV1,0.0,2018-02-21T01:00:00.000+01:00,2018-02-22T01:00:00.000+01:00
PLV1,9.240000000000002,2018-02-22T01:00:00.000+01:00,2018-02-23T01:00:00.000+01:00
PLV1,19.840000000000003,2018-02-23T01:00:00.000+01:00,2018-02-24T01:00:00.000+01:00
PLV1,5.880000000000001,2018-02-24T01:00:00.000+01:00,2018-02-25T01:00:00.000+01:00
PLV1,7.550000000000001,2018-02-25T01:00:00.000+01:00,2018-02-26T01:00:00.000+01:00
PLV1,3.08,2018-02-26T01:00:00.000+01:00,2018-02-27T01:00:00.000+01:00
PLV1,0.0,2018-02-27T01:00:00.000+01:00,2018-02-28T01:00:00.000+01:00
PLV1,1.68,2018-02-28T01:00:00.000+01:00,2018-03-01T01:00:00.000+01:00
PLV1,0.84,2018-03-01T01:00:00.000+01:00,2018-03-02T01:00:00.000+01:00
PLV1,0.8400000000000001,2018-03-02T01:00:00.000+01:00,2018-03-03T01:00:00.000+01:00
PLV1,7.830000000000001,2018-03-03T01:00:00.000+01:00,2018-03-04T01:00:00.000+01:00
PLV1,6.72,2018-03-04T01:00:00.000+01:00,2018-03-05T01:00:00.000+01:00
PLV1,13.440000000000001,2018-03-05T01:00:00.000+01:00,2018-03-06T01:00:00.000+01:00
PLV1,14.27,2018-03-06T01:00:00.000+01:00,2018-03-07T01:00:00.000+01:00
PLV1,3.08,2018-03-07T01:00:00.000+01:00,2018-03-08T01:00:00.000+01:00
PLV1,0.0,2018-03-08T01:00:00.000+01:00,2018-03-09T01:00:00.000+01:00
PLV1,0.0,2018-03-09T01:00:00.000+01:00,2018-03-10T01:00:00.000+01:00
PLV1,0.0,2018-03-10T01:00:00.000+01:00,2018-03-11T01:00:00.000+01:00
PLV1,5.87,2018-03-11T01:00:00.000+01:00,2018-03-12T01:00:00.000+01:00
PLV1,9.51,2018-03-12T01:00:00.000+01:00,2018-03-13T01:00:00.000+01:00
PLV1,0.0,2018-03-13T01:00:00.000+01:00,2018-03-14T01:00:00.000+01:00
PLV1,0.0,2018-03-14T01:00:00.000+01:00,2018-03-15T01:00:00.000+01:00
PLV1,0.8400000000000001,2018-03-15T01:00:00.000+01:00,2018-03-16T01:00:00.000+01:00
PLV1,0.56,2018-03-16T01:00:00.000+01:00,2018-03-17T01:00:00.000+01:00
PLV1,1.68,2018-03-17T01:00:00.000+01:00,2018-03-18T01:00:00.000+01:00
PLV1,12.29,2018-03-18T01:00:00.000+01:00,2018-03-19T01:00:00.000+01:00
PLV1,8.95,2018-03-19T01:00:00.000+01:00,2018-03-20T01:00:00.000+01:00
PLV1,6.72,2018-03-20T01:00:00.000+01:00,2018-03-21T01:00:00.000+01:00
PLV1,4.76,2018-03-21T01:00:00.000+01:00,2018-03-22T01:00:00.000+01:00
PLV1,0.0,2018-03-22T01:00:00.000+01:00,2018-03-23T01:00:00.000+01:00
PLV1,0.0,2018-03-23T01:00:00.000+01:00,2018-03-24T01:00:00.000+01:00
PLV1,0.0,2018-03-24T01:00:00.000+01:00,2018-03-25T01:00:00.000+01:00
PLV1,0.0,2018-03-25T01:00:00.000+01:00,2018-03-26T02:00:00.000+02:00
PLV1,0.8400000000000001,2018-03-26T02:00:00.000+02:00,2018-03-27T02:00:00.000+02:00
PLV1,0.0,2018-03-27T02:00:00.000+02:00,2018-03-28T02:00:00.000+02:00
PLV1,0.0,2018-03-28T02:00:00.000+02:00,2018-03-29T02:00:00.000+02:00
PLV1,0.0,2018-03-29T02:00:00.000+02:00,2018-03-30T02:00:00.000+02:00
PLV1,0.8400000000000001,2018-03-30T02:00:00.000+02:00,2018-03-31T02:00:00.000+02:00
PLV1,11.19,2018-03-31T02:00:00.000+02:00,2018-04-01T02:00:00.000+02:00
PLV1,0.28,2018-04-01T02:00:00.000+02:00,2018-04-02T02:00:00.000+02:00
PLV1,0.0,2018-04-02T02:00:00.000+02:00,2018-04-03T02:00:00.000+02:00
PLV1,0.0,2018-04-03T02:00:00.000+02:00,2018-04-04T02:00:00.000+02:00
PLV1,0.56,2018-04-04T02:00:00.000+02:00,2018-04-05T02:00:00.000+02:00
PLV1,5.029999999999999,2018-04-05T02:00:00.000+02:00,2018-04-06T02:00:00.000+02:00
PLV1,0.0,2018-04-06T02:00:00.000+02:00,2018-04-07T02:00:00.000+02:00
PLV1,0.0,2018-04-07T02:00:00.000+02:00,2018-04-08T02:00:00.000+02:00
PLV1,0.0,2018-04-08T02:00:00.000+02:00,2018-04-09T02:00:00.000+02:00
PLV1,31.299999999999994,2018-04-09T02:00:00.000+02:00,2018-04-10T02:00:00.000+02:00
PLV1,0.28,2018-04-10T02:00:00.000+02:00,2018-04-11T02:00:00.000+02:00
PLV1,0.56,2018-04-11T02:00:00.000+02:00,2018-04-12T02:00:00.000+02:00
PLV1,0.56,2018-04-12T02:00:00.000+02:00,2018-04-13T02:00:00.000+02:00
PLV1,0.0,2018-04-13T02:00:00.000+02:00,2018-04-14T02:00:00.000+02:00
PLV1,0.0,2018-04-14T02:00:00.000+02:00,2018-04-15T02:00:00.000+02:00
PLV1,0.0,2018-04-15T02:00:00.000+02:00,2018-04-16T02:00:00.000+02:00
PLV1,0.0,2018-04-16T02:00:00.000+02:00,2018-04-17T02:00:00.000+02:00
PLV1,0.0,2018-04-17T02:00:00.000+02:00,2018-04-18T02:00:00.000+02:00
PLV1,0.0,2018-04-18T02:00:00.000+02:00,2018-04-19T02:00:00.000+02:00
PLV1,0.0,2018-04-19T02:00:00.000+02:00,2018-04-20T02:00:00.000+02:00
PLV1,0.0,2018-04-20T02:00:00.000+02:00,2018-04-21T02:00:00.000+02:00
PLV1,0.0,2018-04-21T02:00:00.000+02:00,2018-04-22T02:00:00.000+02:00
PLV1,0.0,2018-04-22T02:00:00.000+02:00,2018-04-23T02:00:00.000+02:00
PLV1,0.0,2018-04-23T02:00:00.000+02:00,2018-04-24T02:00:00.000+02:00
