sensor,min,max,avg,start,end
TC,5.4,11.28,7.467111111111109,2018-02-21T01:00:00.000+01:00,2018-02-22T01:00:00.000+01:00
TC,3.76,7.8,6.167960893854749,2018-02-22T01:00:00.000+01:00,2018-02-23T01:00:00.000+01:00
TC,6.48,8.36,7.463757062146893,2018-02-23T01:00:00.000+01:00,2018-02-24T01:00:00.000+01:00
TC,7.66,11.99,9.057916666666667,2018-02-24T01:00:00.000+01:00,2018-02-25T01:00:00.000+01:00
TC,0.68,14.27,6.904213483146073,2018-02-25T01:00:00.000+01:00,2018-02-26T01:00:00.000+01:00
TC,-4.59,5.05,-0.23179271708683474,2018-02-26T01:00:00.000+01:00,2018-02-27T01:00:00.000+01:00
TC,-4.85,5.75,-0.7589972144846796,2018-02-27T01:00:00.000+01:00,2018-02-28T01:00:00.000+01:00
TC,-5.49,8.87,1.0289106145251385,2018-02-28T01:00:00.000+01:00,2018-03-01T01:00:00.000+01:00
TC,0.59,11.72,6.500779944289691,2018-03-01T01:00:00.000+01:00,2018-03-02T01:00:00.000+01:00
TC,4.8,17.23,10.300055865921788,2018-03-02T01:00:00.000+01:00,2018-03-03T01:00:00.000+01:00
TC,7.49,17.27,10.877375690607739,2018-03-03T01:00:00.000+01:00,2018-03-04T01:00:00.000+01:00
TC,7.21,14.51,10.026222222222218,2018-03-04T01:00:00.000+01:00,2018-03-05T01:00:00.000+01:00
TC,8.07,9.44,8.819554317548752,2018-03-05T01:00:00.000+01:00,2018-03-06T01:00:00.000+01:00
TC,8.28,13.89,9.767047353760454,2018-03-06T01:00:00.000+01:00,2018-03-07T01:00:00.000+01:00
TC,4.92,17.24,10.229522471910116,2018-03-07T01:00:00.000+01:00,2018-03-08T01:00:00.000+01:00
TC,3.65,18.99,10.175642857142865,2018-03-08T01:00:00.000+01:00,2018-03-09T01:00:00.000+01:00
TC,6.87,18.86,11.744532374100716,2018-03-09T01:00:00.000+01:00,2018-03-10T01:00:00.000+01:00
TC,6.14,19.64,11.881366906474817,2018-03-10T01:00:00.000+01:00,2018-03-11T01:00:00.000+01:00
TC,12.1,21.85,14.395285714285706,2018-03-11T01:00:00.000+01:00,2018-03-12T01:00:00.000+01:00
TC,8.64,17.67,12.504042553191486,2018-03-12T01:00:00.000+01:00,2018-03-13T01:00:00.000+01:00
TC,8.13,19.19,12.97014285714286,2018-03-13T01:00:00.000+01:00,2018-03-14T01:00:00.000+01:00
TC,5.97,19.08,11.662446043165469,2018-03-14T01:00:00.000+01:00,2018-03-15T01:00:00.000+01:00
TC,6.96,15.08,11.479366197183099,2018-03-15T01:00:00.000+01:00,2018-03-16T01:00:00.000+01:00
