sensor;min;max;avg;start;end
TC;-5.49;21.85;8.166799712849958;2018-02-18T01:00:00.000+01:00;2018-03-20T01:00:00.000+01:00
TC;2.31;27.72;14.215070354972802;2018-03-20T01:00:00.000+01:00;2018-04-19T02:00:00.000+02:00
TC;10.54;31.89;18.808876404494363;2018-04-19T02:00:00.000+02:00;2018-05-19T02:00:00.000+02:00
TC;14.24;33.75;22.848931909212265;2018-05-19T02:00:00.000+02:00;2018-06-18T02:00:00.000+02:00
TC;14.97;37.78;25.622257039552927;2018-06-18T02:00:00.000+02:00;2018-07-18T02:00:00.000+02:00
TC;17.98;38.08;27.758778529163024;2018-07-18T02:00:00.000+02:00;2018-08-17T02:00:00.000+02:00
TC;17.33;35.93;24.37964015469982;2018-08-17T02:00:00.000+02:00;2018-09-16T02:00:00.000+02:00
TC;10.81;32.1;20.96485161153074;2018-09-16T02:00:00.000+02:00;2018-10-16T02:00:00.000+02:00
TC;6.89;30.31;16.979599879056686;2018-10-16T02:00:00.000+02:00;2018-11-15T01:00:00.000+01:00
TC;5.18;20.87;10.20323852092646;2018-11-15T01:00:00.000+01:00;2018-12-15T01:00:00.000+01:00
TC;-1.0;17.7;7.459617103392231;2018-12-15T01:00:00.000+01:00;2019-01-14T01:00:00.000+01:00
TC;0.73;20.37;8.565645022575806;2019-01-14T01:00:00.000+01:00;2019-02-13T01:00:00.000+01:00
TC;3.09;22.0;12.138638121915486;2019-02-13T01:00:00.000+01:00;2019-03-15T01:00:00.000+01:00
TC;6.45;20.4;13.054708480565331;2019-03-15T01:00:00.000+01:00;2019-04-14T02:00:00.000+02:00
