sensor,min,max,avg,start,end
TC,10.35,11.28,10.866000000000001,2018-02-21T16:00:00.000+01:00,2018-02-21T17:00:00.000+01:00
TC,8.68,10.31,9.516,2018-02-21T17:00:00.000+01:00,2018-02-21T18:00:00.000+01:00
TC,7.71,8.55,8.109999999999998,2018-02-21T18:00:00.000+01:00,2018-02-21T19:00:00.000+01:00
TC,7.49,7.65,7.5646666666666675,2018-02-21T19:00:00.000+01:00,2018-02-21T20:00:00.000+01:00
TC,7.07,7.47,7.279333333333333,2018-02-21T20:00:00.000+01:00,2018-02-21T21:00:00.000+01:00
TC,6.24,7.18,6.658,2018-02-21T21:00:00.000+01:00,2018-02-21T22:00:00.000+01:00
TC,5.85,6.35,6.113333333333332,2018-02-21T22:00:00.000+01:00,2018-02-21T23:00:00.000+01:00
TC,5.4,5.89,5.593999999999999,2018-02-21T23:00:00.000+01:00,2018-02-22T00:00:00.000+01:00
TC,5.42,5.55,5.502666666666667,2018-02-22T00:00:00.000+01:00,2018-02-22T01:00:00.000+01:00
TC,5.13,5.4,5.273999999999999,2018-02-22T01:00:00.000+01:00,2018-02-22T02:00:00.000+01:00
TC,5.02,5.12,5.061999999999999,2018-02-22T02:00:00.000+01:00,2018-02-22T03:00:00.000+01:00
TC,4.64,5.06,4.879333333333333,2018-02-22T03:00:00.000+01:00,2018-02-22T04:00:00.000+01:00
TC,4.06,4.57,4.298666666666667,2018-02-22T04:00:00.000+01:00,2018-02-22T05:00:00.000+01:00
TC,3.76,4.08,3.876,2018-02-22T05:00:00.000+01:00,2018-02-22T06:00:00.000+01:00
TC,3.78,4.07,3.9073333333333338,2018-02-22T06:00:00.000+01:00,2018-02-22T07:00:00.000+01:00
TC,4.01,5.16,4.625333333333334,2018-02-22T07:00:00.000+01:00,2018-02-22T08:00:00.000+01:00
TC,5.21,6.28,5.708,2018-02-22T08:00:00.000+01:00,2018-02-22T09:00:00.000+01:00
TC,6.38,6.94,6.762666666666665,2018-02-22T09:00:00.000+01:00,2018-02-22T10:00:00.000+01:00
TC,6.84,7.46,7.057333333333332,2018-02-22T10:00:00.000+01:00,2018-02-22T11:00:00.000+01:00
TC,7.35,7.8,7.588666666666667,2018-02-22T11:00:00.000+01:00,2018-02-22T12:00:00.000+01:00
TC,6.98,7.53,7.177142857142857,2018-02-22T12:00:00.000+01:00,2018-02-22T13:00:00.000+01:00
TC,7.24,7.76,7.558000000000001,2018-02-22T13:00:00.000+01:00,2018-02-22T14:00:00.000+01:00
TC,7.08,7.47,7.248666666666666,2018-02-22T14:00:00.000+01:00,2018-02-22T15:00:00.000+01:00
TC,6.51,6.99,6.6286666666666685,2018-02-22T15:00:00.000+01:00,2018-02-22T16:00:00.000+01:00
TC,6.43,6.68,6.53,2018-02-22T16:00:00.000+01:00,2018-02-22T17:00:00.000+01:00
TC,6.53,6.68,6.6049999999999995,2018-02-22T17:00:00.000+01:00,2018-02-22T18:00:00.000+01:00
TC,6.65,7.24,6.874666666666666,2018-02-22T18:00:00.000+01:00,2018-02-22T19:00:00.000+01:00
TC,6.6,7.35,7.068666666666664,2018-02-22T19:00:00.000+01:00,2018-02-22T20:00:00.000+01:00
TC,6.33,6.59,6.4559999999999995,2018-02-22T20:00:00.000+01:00,2018-02-22T21:00:00.000+01:00
